"_time",host,totalCPUTime
"2019-04-02T04:10:00.000+0000","eu16-app1-12-fra.ops.sfdc.net",1437193
"2019-04-02T04:10:00.000+0000","eu16-app1-13-fra.ops.sfdc.net",1572516
"2019-04-02T04:10:00.000+0000","eu16-app1-14-fra.ops.sfdc.net",1844541
"2019-04-02T04:10:00.000+0000","eu16-app1-15-fra.ops.sfdc.net",1431264
"2019-04-02T04:10:00.000+0000","eu16-app1-16-fra.ops.sfdc.net",903959
"2019-04-02T04:10:00.000+0000","eu16-app1-17-fra.ops.sfdc.net",1256024
"2019-04-02T04:10:00.000+0000","eu16-app1-18-fra.ops.sfdc.net",665418
"2019-04-02T04:10:00.000+0000","eu16-app1-19-fra.ops.sfdc.net",1007722
"2019-04-02T04:10:00.000+0000","eu16-app1-2-fra.ops.sfdc.net",945384
"2019-04-02T04:10:00.000+0000","eu16-app1-20-fra.ops.sfdc.net",1347387
"2019-04-02T04:10:00.000+0000","eu16-app1-21-fra.ops.sfdc.net",1244049
"2019-04-02T04:10:00.000+0000","eu16-app1-22-fra.ops.sfdc.net","-7"
"2019-04-02T04:10:00.000+0000","eu16-app1-23-fra.ops.sfdc.net",5085
"2019-04-02T04:10:00.000+0000","eu16-app1-24-fra.ops.sfdc.net",2942
"2019-04-02T04:10:00.000+0000","eu16-app1-25-fra.ops.sfdc.net",1087131
"2019-04-02T04:10:00.000+0000","eu16-app1-26-fra.ops.sfdc.net",2104976
"2019-04-02T04:10:00.000+0000","eu16-app1-27-fra.ops.sfdc.net",1177213
"2019-04-02T04:10:00.000+0000","eu16-app1-28-fra.ops.sfdc.net",1774544
"2019-04-02T04:10:00.000+0000","eu16-app1-29-fra.ops.sfdc.net",1037606
"2019-04-02T04:10:00.000+0000","eu16-app1-3-fra.ops.sfdc.net",731793
"2019-04-02T04:10:00.000+0000","eu16-app1-30-fra.ops.sfdc.net","-4"
"2019-04-02T04:10:00.000+0000","eu16-app1-4-fra.ops.sfdc.net",1459597
"2019-04-02T04:10:00.000+0000","eu16-app1-5-fra.ops.sfdc.net",1296339
"2019-04-02T04:10:00.000+0000","eu16-app1-6-fra.ops.sfdc.net",701355
"2019-04-02T04:10:00.000+0000","eu16-app1-7-fra.ops.sfdc.net",1621565
"2019-04-02T04:10:00.000+0000","eu16-app1-8-fra.ops.sfdc.net",662737
"2019-04-02T04:10:00.000+0000","eu16-app1-9-fra.ops.sfdc.net",911364
"2019-04-02T04:10:00.000+0000","eu16-app2-1-fra.ops.sfdc.net",1665743
"2019-04-02T04:10:00.000+0000","eu16-app2-10-fra.ops.sfdc.net",346327
"2019-04-02T04:10:00.000+0000","eu16-app2-11-fra.ops.sfdc.net",1559886
"2019-04-02T04:10:00.000+0000","eu16-app2-12-fra.ops.sfdc.net",948869
"2019-04-02T04:10:00.000+0000","eu16-app2-13-fra.ops.sfdc.net",1717181
"2019-04-02T04:10:00.000+0000","eu16-app2-14-fra.ops.sfdc.net",982089
"2019-04-02T04:10:00.000+0000","eu16-app2-15-fra.ops.sfdc.net",1156366
"2019-04-02T04:10:00.000+0000","eu16-app2-16-fra.ops.sfdc.net",1214850
"2019-04-02T04:10:00.000+0000","eu16-app2-17-fra.ops.sfdc.net",912087
"2019-04-02T04:10:00.000+0000","eu16-app2-18-fra.ops.sfdc.net",1275675
"2019-04-02T04:10:00.000+0000","eu16-app2-19-fra.ops.sfdc.net",1340841
"2019-04-02T04:10:00.000+0000","eu16-app2-2-fra.ops.sfdc.net",1700225
"2019-04-02T04:10:00.000+0000","eu16-app2-20-fra.ops.sfdc.net",1614225
"2019-04-02T04:10:00.000+0000","eu16-app2-21-fra.ops.sfdc.net",861015
"2019-04-02T04:10:00.000+0000","eu16-app2-22-fra.ops.sfdc.net",809520
"2019-04-02T04:10:00.000+0000","eu16-app2-23-fra.ops.sfdc.net",791299
"2019-04-02T04:10:00.000+0000","eu16-app2-24-fra.ops.sfdc.net",1116150
"2019-04-02T04:10:00.000+0000","eu16-app2-25-fra.ops.sfdc.net",1782241
"2019-04-02T04:10:00.000+0000","eu16-app2-26-fra.ops.sfdc.net",1041306
"2019-04-02T04:10:00.000+0000","eu16-app2-27-fra.ops.sfdc.net",1258703
"2019-04-02T04:10:00.000+0000","eu16-app2-28-fra.ops.sfdc.net",1036200
"2019-04-02T04:10:00.000+0000","eu16-app2-29-fra.ops.sfdc.net",1166230
"2019-04-02T04:10:00.000+0000","eu16-app2-3-fra.ops.sfdc.net",890680
"2019-04-02T04:10:00.000+0000","eu16-app2-30-fra.ops.sfdc.net",1353296
"2019-04-02T04:10:00.000+0000","eu16-app2-4-fra.ops.sfdc.net",1505637
"2019-04-02T04:10:00.000+0000","eu16-app2-5-fra.ops.sfdc.net",814286
"2019-04-02T04:10:00.000+0000","eu16-app2-6-fra.ops.sfdc.net",1065217
"2019-04-02T04:10:00.000+0000","eu16-app2-7-fra.ops.sfdc.net",1181584
"2019-04-02T04:10:00.000+0000","eu16-app2-9-fra.ops.sfdc.net",1530431
"2019-04-02T04:20:00.000+0000","eu16-app1-1-fra.ops.sfdc.net",1326160
"2019-04-02T04:20:00.000+0000","eu16-app1-10-fra.ops.sfdc.net",1880708
"2019-04-02T04:20:00.000+0000","eu16-app1-11-fra.ops.sfdc.net",1963271
"2019-04-02T04:20:00.000+0000","eu16-app1-12-fra.ops.sfdc.net",1941471
"2019-04-02T04:20:00.000+0000","eu16-app1-13-fra.ops.sfdc.net",2307353
"2019-04-02T04:20:00.000+0000","eu16-app1-14-fra.ops.sfdc.net",1832357
"2019-04-02T04:20:00.000+0000","eu16-app1-15-fra.ops.sfdc.net",1034320
"2019-04-02T04:20:00.000+0000","eu16-app1-16-fra.ops.sfdc.net",1228827
"2019-04-02T04:20:00.000+0000","eu16-app1-17-fra.ops.sfdc.net",1792466
"2019-04-02T04:20:00.000+0000","eu16-app1-18-fra.ops.sfdc.net",1297824
"2019-04-02T04:20:00.000+0000","eu16-app1-19-fra.ops.sfdc.net",1786188
"2019-04-02T04:20:00.000+0000","eu16-app1-2-fra.ops.sfdc.net",1109617
"2019-04-02T04:20:00.000+0000","eu16-app1-20-fra.ops.sfdc.net",1850439
"2019-04-02T04:20:00.000+0000","eu16-app1-21-fra.ops.sfdc.net",1575142
"2019-04-02T04:20:00.000+0000","eu16-app1-22-fra.ops.sfdc.net",170
"2019-04-02T04:20:00.000+0000","eu16-app1-23-fra.ops.sfdc.net",7675
"2019-04-02T04:20:00.000+0000","eu16-app1-24-fra.ops.sfdc.net",3126
"2019-04-02T04:20:00.000+0000","eu16-app1-25-fra.ops.sfdc.net",1700564
"2019-04-02T04:20:00.000+0000","eu16-app1-26-fra.ops.sfdc.net",1531385
"2019-04-02T04:20:00.000+0000","eu16-app1-27-fra.ops.sfdc.net",1446356
"2019-04-02T04:20:00.000+0000","eu16-app1-28-fra.ops.sfdc.net",1284478
"2019-04-02T04:20:00.000+0000","eu16-app1-29-fra.ops.sfdc.net",1473779
"2019-04-02T04:20:00.000+0000","eu16-app1-3-fra.ops.sfdc.net",1581431
"2019-04-02T04:20:00.000+0000","eu16-app1-30-fra.ops.sfdc.net","-6"
